Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,08/04/2024,8704316100,2025,DFSK,C35,1499.0,LIVIANO,PANEL,DISTRIBUIDOR,GASOLINA,2,5,1.0,916088.75,109930.65,
SANTO TOMAS DE CASTILLA,08/04/2024,8703237911,2016,HONDA,CR-V EX AWD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,44178.5,5301.42,
EL CARMEN,08/04/2024,8703247000,2014,JEEP,GRAND CHEROKEE 4X4,3600.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,43440.86,5212.9,
"G7, ALCORSA",26/04/2024,8429590000,2023,SIN MARCA,NDI,2170.0,PESADO,RETROEXCAVADORA,OCASIONAL,DIESEL,1,0,1.0,42412.91,5089.55,
EL CARMEN,08/04/2024,8703237991,2007,HONDA,CR-V EX-L 2WD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,18084.79,2170.17,
EL CARMEN,08/04/2024,8703226991,2010,TOYOTA,YARIS,1500.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0.0,17035.67,2044.28,
EL CEIBO,09/04/2024,8703249910,2020,TOYOTA,4RUNNER SR5 2WD,4000.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,111588.2,13390.58,
EL CARMEN,08/04/2024,8703237911,2014,HONDA,CR-V EX-L AWD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,38796.81,4655.62,
EL CARMEN,08/04/2024,8703226991,2006,SCION,XB,1500.0,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0.0,38616.43,4633.97,
EL CARMEN,08/04/2024,8704315100,2001,TOYOTA,TACOMA SR5 XTRACAB 4X4,2700.0,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1.0,52486.68,6298.4,
